room_type,host_acceptance_rate,price,availability_365,review_scores_rating,review_scores_cleanliness,review_scores_communication,number_of_reviews
1,0.99,97.00,240.00,4.86,4.96,4.93,524
1,0.00,425.00,311.00,4.96,4.96,4.96,24
1,0.98,189.00,345.00,4.86,4.89,4.91,341
1,1.00,200.00,0.00,4.9,4.91,4.96,108
1,1.00,195.00,353.00,4.62,4.88,4.96,52
1,0.84,306.00,227.00,4.93,4.98,4.96,56
1,1.00,141.00,0.00,4.72,4.82,4.84,68
1,1.00,120.00,163.00,4.89,4.84,4.96,185
1,0.97,150.00,200.00,4.91,4.94,4.97,68
1,0.99,199.00,0.00,4.63,4.94,4.75,16
1,0.99,115.00,76.00,4.97,5,5,136
1,1.00,146.00,318.00,4.76,5,4.65,18
1,0.94,99.00,342.00,4.97,4.98,4.98,148
1,1.00,145.00,158.00,4.96,4.98,5,112
1,0.83,189.00,353.00,4.87,4.91,4.91,107
1,1.00,120.00,146.00,4.88,4.94,4.97,32
2,0.00,270.00,168.00,3.86,4.57,3.71,7
1,0.70,60.00,278.00,4.59,4.86,4.88,51
1,1.00,179.00,0.00,4.87,4.97,4.93,93
1,0.90,75.00,252.00,4.94,4.95,4.97,209
2,0.79,95.00,197.00,5,4.67,5,3
1,0.89,140.00,194.00,4.79,4.9,4.95,385
2,0.79,60.00,197.00,4.89,4.92,4.94,97
2,0.79,84.00,197.00,4.63,4.95,4.68,20
1,1.00,338.00,0.00,4.9,4.9,4.88,48
1,1.00,338.00,0.00,4.86,5,4.86,7
1,1.00,504.00,0.00,4.8,5,5,5
1,1.00,338.00,2.00,5,5,5,7
1,1.00,135.00,356.00,4.94,4.93,4.99,97
1,1.00,158.00,25.00,4.84,4.98,4.96,57
1,0.18,247.00,357.00,4.82,4.91,4.71,93
1,0.92,163.00,0.00,4.97,4.96,4.98,268
1,0.92,444.00,148.00,4.94,4.92,4.85,103
1,0.98,490.00,169.00,5,5,5,1
1,0.98,100.00,180.00,4.9,4.96,4.99,210
2,1.00,90.00,87.00,4.85,4.77,4.99,79
1,0.00,115.00,106.00,4.85,4.9,4.92,62
1,0.94,399.00,364.00,4.79,4.58,4.67,53
1,1.00,80.00,48.00,4.92,4.96,4.96,210
1,0.99,167.00,7.00,4.96,4.93,4.99,324
1,1.00,227.00,66.00,5,5,5,17
1,1.00,295.00,0.00,4.91,4.82,5,11
1,0.95,196.00,356.00,4.97,4.95,4.86,80
1,0.94,425.00,233.00,4.96,4.89,4.97,159
1,1.00,180.00,354.00,4.92,4.99,5,74
1,0.99,351.00,162.00,4.7,4.9,4.9,10
